,id,display name,description,verified,potentially_banned,#followers,#posts,#friends,#favourites,location
LeonEoW,23054344,Leon Elsjan of Wipper🇪🇺,"History, war history, politics. News junk since '77. And then you go and spoil it all by saying something stupid and I block you.
Website=library.",False,False,1091.0,43620.0,363.0,1048.0,"Tilburg, NL"
ArtisanalAPT,533118790,Tim Ehrhart,"Cyber Security, OSINT, whatever. Buy me a square kilometer of satellite imagery at ko-fi.com/tehrhart",False,False,6193.0,809.0,397.0,11965.0,"Basel, Switzerland"
Chattwjonathan,3327626987,Jonathan Hunter,"#Chattahooligan
Meteorologist in Trucking Industry
Valpo '07
Break the Oligarchy
Wx Retweet = Endorsement
Way too happy and cheery",False,False,744.0,16928.0,1008.0,54946.0,"Chattanooga, TN"
monthly_review,308631257,Monthly Review,"The official twitter account of Monthly Review, MR Press and MR Online",False,False,23901.0,9163.0,424.0,900.0,"New York, NY"
psud12,492538411,"Cllr Pete Sudbury: opinions my own, can be wrong.",Green Party County Councillor. Retired psychiatrist and medical director. Dad of 3-young kids. We can't afford to lose the fight against climate breakdown.,False,False,1194.0,22224.0,2149.0,51823.0,"Woodcote, England"
Dave64P,954066206956322824,David P. Hunt,"""I do research; this always gets the creative juices flowing.""
John W. Wood",False,False,163.0,51759.0,4268.0,38235.0,
Elizrael,18014005,Elizabeth Tsurkov🌻,Passionate about human rights. Fellow @NewlinesInst focusing on the Levant & Research Fellow @RegThink. @PUPolitics PhD candidate. Admin @WomenKnowMENA,True,False,78676.0,138061.0,1525.0,20068.0,Middle East
AndrewARay,849867251251630080,Andrew A. Ray,"Husband, father of five, living in Slovakia.",False,False,225.0,8830.0,750.0,72911.0,Central Europe
AlexKokcharov,2420267570,Alex Kokcharov,"London-based Country Risk analyst focused on #Russia, #Ukraine, #Belarus, #Baltics, #Eurasia & #Caucasus. 

All views are my own, RT ≠ endorsement.",False,False,92965.0,78940.0,3100.0,66593.0,London
SandraHelena39,47694347,Sandra N.,Born in Brazil-raised in Mass. - futebol/soccer - Arsenal - classic films - Latin America - Middle East - hate Dems & GOP. Screw your pronouns.,False,False,4534.0,352498.0,2734.0,36512.0,Southeastern Massachusetts
Lethendralis1,1100756303780237319,Lethendralis 🇺🇦🌻🚜🥒,"2D artist 
They/them
Ukraine, Lviv 
Open for illustration/character art work
🚫no nft's no using for AI🚫
essequamvideri88@gmail.com
savelife.in.ua
#укртві",False,False,3671.0,8106.0,742.0,278038.0,Украина
myraccoonhands,1032755810072440832,✨🌸 Infosecsie 🌸✨,"(She/Her) Magical 🦝 Girl™ with ADHD, strong muscles, a computer, infosec know-how, & animal sidekicks. About me:⬅️🏳️‍🌈🧘‍♀️🏋️‍♀️💪👩‍🎨🎨🎤🎧🎮💻🛡📖🐕🐈‍⬛",False,False,5327.0,14167.0,879.0,41278.0,United States
LizzyJPrice,172065212,Lizzy Price 🧡,uk has the worst gov we have ever known. not moving on til they do.,False,False,4592.0,21149.0,2893.0,76681.0,"South East, England"
mapconcierge,6168602,Taichi Furuhashi 🇺🇦,"Professor of Aoyama Gakuin Univ./President of MAPconcierge & CrisisMappers Japan/Researcher of CSIS,u-tokyo/Member of OSGeoJP & OSMFJ/Ambassador of Mapbox",False,False,4622.0,23789.0,4248.0,16239.0,日本 東京
atanusarkar8,471111061,atanusarkar,,False,False,13.0,970.0,293.0,4533.0,
pip_dragon,1588292156,Pip the Dragon Cat (Драконий Кіт) 🇺🇦🇺🇸🇨🇦,"Referring to Ukraine/Ukrainians as ""Nazis"" means I will donate to Ukraine (or Azov in particular), in the name of whoever is calling Ukrainians ""nazi.""",False,False,2019.0,57227.0,3488.0,178107.0,
kochel_Schmied,1425416472411713540,Schmied von Kochel,,False,False,8.0,583.0,94.0,749.0,
VladDavidzon,1621201316,Vladislav Davidzon,"Anarchic Aesthete
Columnist @tabletmag 
@ForeignPolicy
Fellow @AtlanticCouncil 
Founding Editor @theodessareview 
Author of “From Odessa with Love”",True,False,26773.0,12072.0,4711.0,26192.0,Between NYC/Odessa/Paris.
tdvey,1541914674731446272,yes pleae,Let people be themselves(.) - Student at Princeton University,False,False,2.0,128.0,12.0,58.0,
jmvasquez1974,1496985907139956741,James Vasquez,,True,False,400277.0,2085.0,471.0,5198.0,
KatFoxhall,2573079415,Katherine Foxhall,Accidentally Political. Lapsed Historian. Mum. E-bike convert. Chair Oxon South & Vale Greens @SouthOxonGreens @WantageGreens. Views here are mine. she/her,False,False,1941.0,1841.0,2172.0,7370.0,Oxfordshire
blanccchettt,760397285188567041,blanchettt,Human being. Fighting for equality and justice. Feminist. Tweets my own. #beerwinelover,False,False,567.0,12324.0,186.0,15421.0,Bishkek. Kyrgyzstan
absynot,205579364,absolutely not,etc,False,False,186.0,5238.0,436.0,17815.0,"Santa Monica, CA"
Musketeiro,270547605,Mosqueteiro 🇺🇦,Digo disparates.,False,False,218.0,42174.0,211.0,19728.0,"81.602042, -16.662005"
OKB1917,1156063390810304513,丸の内炒飯OL,餃子も付けてください,False,False,171293.0,33438.0,787.0,1.0,
ShellKell00,986538235131244545,Cllr Michelle Kelly,"New mummy 👶 🐶| @allianceparty Councillor, Titanic DEA #eastbelfast | Deputy Lord Mayor of Belfast 2022/23 | Email: Michelle.kelly@alliancepartyni.org",False,False,2063.0,4167.0,2547.0,14469.0,East Belfast
daan_nielander,1498371694326648841,Daan Nielander,"🟧⚡⬛ 🇳🇱  📢 💡 🖋️  📖

#Fellas Signal Division #WeAreNAFO

Sourcing radios & other communication tools for UAF via @Liberty_Signal.",False,False,348.0,1332.0,504.0,3036.0,"Breda, Nederland"
lizthegrey,14534896,Liz Fong-Jones (方禮真),"Principal 🐝 @honeycombio, @AWSCloud Hero; views her own. board @coworkerfund @tallpoppyhq @OpenTelemetry 🇺🇸 in 🇨🇦/🇦🇺, ♿, 🏳️‍⚧️ & queer, #pluralgang ❄️🐆",True,False,42304.0,104782.0,2519.0,149742.0,Unceded Gadigal+Musqueam land
ArmsControlWonk,22803302,Dr. Jeffrey Lewis,"Professor at @miis, staff at @jamesmartincns & host of the @acwpodcast.",True,False,102689.0,69991.0,1843.0,15618.0,"Carmel, CA"
joystik88,1475250160183779331,Röse,#StopWar!,False,False,659.0,12461.0,284.0,19731.0,
bonesknight,2774999651,Emily Knight,"Lighthouses burn out, but they never move. part time 🦈, full time partner / fiduciary. ⚜️🐺 #NAFO lady. Joe Strummer fan. Support @georgian_legion",False,False,1506.0,5050.0,1128.0,9785.0,
ShaunaReports,26561636,Shauna Corr,Environment correspondent @IrishMirror @MirrorNI @IsFearrAnStar @BelfastLive @buzzdotie @corkbeo @DublinLive @GalwayBeoOnline 📇 linktr.ee/ShaunaCorr,True,False,3825.0,23288.0,2929.0,20254.0,Ireland
Galea100,1448677062806540292,Galea,,False,False,19.0,3884.0,138.0,1820.0,
ExumAM,19190572,Andrew Exum,Raised in the woods so's I knew ev'ry tree. Tweeting in a personal capacity. RTs & links ≠ endorsements.,False,False,54839.0,40845.0,399.0,4.0,de Château Nooga
TotalEnergies,79962986,TotalEnergies,"TotalEnergies is a multi-energy company that produces & markets energies on a global scale: oil & biofuels, natural gas & green gases, renewables & electricity.",True,False,830443.0,13226.0,255.0,4702.0,
Mousehole1,210941032,Norma Moore,,False,False,3071.0,232686.0,4999.0,78549.0,"Mousehole, Cornwall"
SunAiSn,1400396720815673348,AiNuR,I am a WoMan💃 Kindness is all about me. Peace to everyone.,False,False,151.0,7382.0,172.0,33137.0,
Fella6996,1546860522221539328,"The Few, The Proud, The Fellas",new account for a new fella. Burnt out consultant with a degree in Poli Sci. totally not CIA.,False,False,324.0,1118.0,437.0,990.0,"Washington, DC"
brokenpixelua,1498882455864057856,Volodymyr Demchenko,Ukrainian film director (currently Ukrainian soldier),False,False,66626.0,1310.0,164.0,7583.0,Kyiv
EmilyKerr36,1493898916307345408,Cllr Emily Kerr 💚,"Green Party Cllr, Oxford City. Cleaner fairer transport, loves trikes. Founder of @shareourcars. Circular: ex-head of fashion at eBay UK. She / her.",False,False,2367.0,1083.0,1214.0,3136.0,"Oxford, England"
IlvesToomas,579747564,toomas hendrik ilves,"look at my homepage

From Estonia. Where Digital is Native",True,False,182948.0,166703.0,1845.0,16367.0,Estonia
natibubble,2296565936,Nationalist Bubble,Retweet is not Endorsement. Also Flags. Lots of Flags. (*not a nationalist),False,False,718.0,48160.0,1239.0,24506.0,
SharlandNM,457046082,Nick,Then came the rocks. Jagged rocks. Hitting me with their jags.,False,False,2608.0,24380.0,984.0,22642.0,Yorkshire
zajobajo2,1466704409732292612,Zajobajo2,Де масло?,False,False,325.0,13451.0,552.0,37624.0,
MLevassor,1509382126860394497,Marie Levassor 🌻,Révoltée de naissance,False,False,59.0,3480.0,1122.0,24576.0,"Trois-Rivières, Québec"
Frances_Coppola,101002059,Frances 'Cassandra' Coppola,Malign Twitterata. Proud member  of the Left Blob. Wrote 'The Case for People's QE' (Polity 2019).  Now writing a book on banking. Sings a bit too. She/her.,True,False,82315.0,615375.0,5212.0,86675.0,United Kingdom
ThatMattOBrien,1414949871736459272,MatthewOBrien,Just a guy trying to make a difference...in a positive way.,False,False,564.0,21353.0,395.0,18879.0,"Washington, DC"
geertjanhahn,34553942,Geert Jan Hahn,"Journalist - Slavist - Europaverslaggever @BNR (🇪🇺+🇺🇦+🇷🇺) 

Vragen? hahn at bnr.nl",False,False,14590.0,47155.0,6138.0,7413.0,
ZelenskyyUa,1120633726478823425,Володимир Зеленський,Президент України,True,False,6494241.0,2361.0,1.0,2.0,Україна
PippaCrerar,130120037,Pippa Crerar,"Political Editor, The Guardian pippa.crerar@theguardian.com",True,False,357954.0,6485.0,3491.0,15387.0,"London, Scotland, Burnley"
logandenovan,891718200064438273,Audi F1,Audi,False,False,36.0,4953.0,85.0,13544.0,
DougJBalloon,22998311,New York Times Pitchbot,Parody. Maybe one of the worst and most inscrutably unfunny accounts on here now.  Merch: stores.inksoft.com/nytpitchbot,False,False,189552.0,68245.0,3561.0,42891.0,
purgle6,1108781142621257728,AmazingGrace,,False,False,33.0,1850.0,644.0,9498.0,
ConteAdino,1543484469373452288,Conte Adino Ugo,Braccia donate alla terra,False,False,27.0,1749.0,108.0,1859.0,
Iman69575400,1486054228418338824,Iman,,False,False,14.0,69.0,64.0,12531.0,
vpro,7348632,vpro,"#VPRO | Grensverkenners sinds 1926 Bakermat van o.a. @deavondshowvpro, @VPROTegenlicht, @3voor12 en @Argosonderzoekt",True,False,58709.0,26952.0,946.0,19276.0,Hilversum Netherlands
noclador,48999435,Thomas C. Theiner,"Fiat iustitia, et pereat mundus.
Now: film industry executive in Kyiv/Vienna
Prior: Italian Army",False,False,63301.0,9853.0,189.0,70204.0,"Kyiv, Vienna, Los Angeles."
DrRadchenko,2313633876,Sergey Radchenko,Historian of the Cold War and after. Wilson E. Schmidt Distinguished Professor @KissingerCenter @SAISHopkins.,False,False,49362.0,17961.0,2807.0,10357.0,"Washington, Bologna, Nanjing"
Jydskatomkraft,24768344,Aske Bluhme,"Born in Denmark. As adult lived in Luxembourg, Qatar and currently in Russia. Had colleagues from 140 countries. Heard the most fantastic stories.",False,False,474.0,6563.0,1568.0,40646.0,Denmark
tilek_ahmatov,212528783,Tilek Akhmatov,"о том, о сём",False,False,1894.0,9326.0,759.0,41752.0,
abakiroff,15255438,abff,God hates us all,False,False,11132.0,27461.0,841.0,113.0,
HarriettmooreB2,735579663028879360,Harriett M-B ⭐️,"Proud to be blocked by Hoey, Burns, Bannerman and a few more. #FBPE #AchtAnois 🌈",False,False,6995.0,120308.0,7372.0,654061.0,Ireland. 
CT_1212,1405494931116859392,ChennaiTypewriter,"I am the master of my fate, I am the captain of my soul",False,False,8.0,1668.0,66.0,2103.0,"Chennai, India"
MaxAbrahms,1362368612,Max Abrahms,International security prof. Author of book on terrorist dynamics tinyurl.com/y72p5fq3. Lucky husband to @karlula.,True,False,65823.0,59967.0,2257.0,147104.0,"Boston, MA"
MSF_ITALIA,24896038,MediciSenzaFrontiere,"Forniamo assistenza medica dove c'è più bisogno senza distinzioni dovute all’appartenenza etnica,religiosa o al credo politico.
INDIPENDENTI.NEUTRALI.IMPARZIALI",True,False,326566.0,9314.0,1110.0,6860.0,Italia
NPORadio1,8870432,NPO Radio 1,"Het officiële Twitter-account van #NPORadio1. Nieuws, sport, achtergronden, interviews, reportages. Luister live: nporadio1.nl/live",True,False,97398.0,115452.0,1792.0,25817.0,"Hilversum, The Netherlands"
thewire_in,3150940290,The Wire,"India's foremost independent news-site, carrying critical opinion, investigations and reportage. 

Click here to support us: thewire.in/support",True,False,1239886.0,136875.0,397.0,649.0,
moreemmamoore,1038408283407740928,Emma Moore,"natty g, ""talent,"" readiness, culture, sof | non-resident @TheKrulakCenter, former @cnasdc | views own",False,False,1502.0,1395.0,505.0,6054.0,
JosephG87063769,1499610342191599618,Joseph Grant,Enjoy Life!,False,False,73.0,5152.0,1352.0,531.0,
EdBuell,110791383,MrEd,"anti woke, anti wappie, 🇵🇭",False,False,37.0,400.0,338.0,483.0,
daveaitel,8371802,Dave Aitel,Cyber Security Researcher | Policy Analyst | Partner at Cordyceps.Systems,False,False,28774.0,84967.0,1532.0,10171.0,
SHeydemann,348694342,Steven Heydemann,"Janet W. Ketcham 1953 Chair and Professor, ME Studies, Smith College; Senior Nonresident Fellow, Brookings Institution Center for ME Policy.",False,False,5804.0,28467.0,1909.0,44972.0,"DC and Northampton, MA"
Eastern_Border,4533172713,The Eastern Border🇱🇻🇪🇺,"Podcast by Latvian journalist Kristaps Andrejsons, explaining the life in and the history of USSR and doing deep dives on current regional affairs. #NAFO",False,False,19016.0,15816.0,1053.0,23387.0,"Riga, Latvia"
WarInUkraineYet,1491012700041789442,Damage Control,"Daily updates on the Russian Invasion of Ukraine and geopolitics from Eastern Europe!

(Reporting ≠ Supporting)",False,False,7188.0,2933.0,237.0,392.0,
SuperchiefNFT,1372627798469316612,SuperchiefGalleryNFT,"World's 1st IRL NFT Gallery - located in NYC & Los Angeles - Appointment only, please contact rsvp@superchiefgallerynft.com",True,False,22864.0,11522.0,3651.0,39269.0,"Manhattan, NY"
ChuckPfarrer,2256760459,Chuck Pfarrer,"Former SEAL Team Six Squadron Leader, NYT Best Selling Author, Conflict Correspondent, Husband, Dad, Hollywood Screenwriter and Epic Snowboarder.",False,False,54906.0,16698.0,937.0,8048.0,الكاتب الأمريكي وصديق الأبرار
Cal05000,67788749,🏳️‍🌈~~GAY SOCIALIST~~☭,"He/Him
🏳️‍🌈 | Pro 🇵🇸 | BLM | ☭ | 1312",False,False,118.0,9982.0,1099.0,8042.0,Somewhere you might've been.
lissenharder,3422649921,Listen Harder57,"A regular person outraged by ignorance, lack of honesty and hypocrisy...🙏👍❤️ “It did not start with Donald Trump. He is a symptom, not the cause,” Obama 2018",False,False,230.0,50185.0,241.0,141651.0,United States
NesrineMalik,1189205972,Nesrine Malik,"Guardian columnist and features writer, author of We Need New Stories",True,False,59916.0,341.0,1594.0,7377.0,
phpgurusnad,812660693686161408,Martin Chlebovec,,False,False,4.0,72.0,77.0,17.0,
SabineFreizer,55933492,Sabine Freizer Gunes,"Working on leadership & governance at UN Women. Regional focus: Balkans, Caucasus, Turkey, Russia + Central Asia. Personal account, opinions + analysis my own",False,False,7139.0,16686.0,1012.0,14361.0,Istanbul (usually)
olybass25,977617823827668993,(KNO₃+S+C)*25%,"Ненавиджу вату та совків, сепарів та ідіотов. А тих, хто називає гривню рубльом, ненавиджу люто та скажено.
Обіцяють не ідіоти  - обіцяють ідіотам.",False,False,1678.0,17381.0,1253.0,34811.0,Україна
ImposeCost,871496297575927809,Andrew Thompson 🇺🇸🌻🇺🇦,"Director, Adversary Operations @Mandiant Tweets attributable to me—not current or former employers.",False,False,26641.0,85.0,1073.0,45810.0,"Washington, DC"
deptinfra,4871820615,Department for Infrastructure,The official account for Department for Infrastructure managed by the press office. Seo an cuntas oifigiúil don Roinn Bonneagair bainistithe ag an phreasoifig.,True,False,15553.0,21901.0,414.0,764.0,"Belfast, Northern Ireland"
joelw_762,3305380733,Joel Wasserman,"An American in Lviv, Ukraine.",False,False,5418.0,108629.0,5092.0,468086.0,"Lviv, Ukraine"
Jilka,14816167,Jilka,"Gender equality is a social justice matter, not a social protection!",False,False,410.0,6827.0,227.0,24292.0,Bishkek
kamilkazani,1364845405,Kamil Galeev,Building my new project. Announcement will follow soon,False,False,346767.0,6513.0,653.0,1438.0,Washington DC
sisigatani,2374830626,貴志俊彦 Toshihiko KISHI,Prof in 20th-Century East Asian History @kucseas. 京都大学東南アジア地域研究研究所教授／東京大学大学院情報学環客員教授／日本学術会議連携会員／日本学術振興会学術システム研究センター主任研究員／（公）東洋文庫客員研究員,False,False,494.0,2254.0,231.0,1634.0,京都大学稲盛財団記念館
zancan,8675622,zancan 🌿,"Former oil painter, longtime programmer. Bewitched by density, plants and trees.  #plottertwitter enthusiast",False,False,20241.0,3869.0,1034.0,10431.0,"Bordeaux, France"
slash_a,78829794,S K 🇺🇦,If you want to support production or this game please send your donations to comebackalive.in.ua/donate,False,False,1678.0,1592.0,383.0,5113.0,Kyiv
Irish182,308139647,KarlMann,,False,False,17.0,1133.0,95.0,2277.0,
nikicaga,892767878,Nikolaj🍦🧦🇺🇦,"22, from 🇷🇸, studying Bioengineering in 🇩🇪/🇫🇷

Progressive, Incrementalist

bi, he/him ↙️↙️↙️ 🧦 🌐🌹🌋 🥑 🐵🔰

alt: @nikolajsalt",False,False,9251.0,120889.0,2385.0,603655.0,"Serbia, The 52nd State"
PepPepVladdy,1497195296425713702,Armchair PepeLord,CIA operative under the codename froggy_fella_200,False,False,574.0,2499.0,69.0,25474.0,"Vatnik Residence, Russia"
_dopeless,79740585,Yes! Dopeless,"Все гірше, і гірше",False,False,5925.0,50755.0,221.0,46365.0,
CyberStatecraft,956908335583948801,Cyber Statecraft,Official account of the @AtlanticCouncil's Cyber Statecraft Initiative. Working at the nexus of geopolitics & nat sec with cyber. RT≠Endorsement,True,False,7265.0,3195.0,174.0,1223.0,"Washington, DC"
Mvutyi,943022421279432704,Vuyo,The princess saves herself in this one,False,False,362.0,25398.0,258.0,24428.0,JHB|PTA
CarCloudy,1132152729722167296,CloudyCar,Worried about the rise of nationalism and the damage Brexit has caused. Hate that no one believes experts any more. Sickened by the naked corruption of the Govt,False,False,375.0,5539.0,1029.0,7756.0,"England, United Kingdom"
antibot4navalny,973677193816571905,блокировщик ботов,"(Кремле)боты; манипуляторы; инфо-операции и войска; дезинформация; пропаганда. #OSINT.
Moments: twitter.com/antibot4navaln…",False,False,5050.0,20093.0,248.0,37546.0,
hwtnv2022,1559086131610021889,Hidenori Watanave -2,渡邉英徳 / Professor at The University of Tokyo / Information Design & Digital Archives /「記憶の解凍」/ Main-account: @hwtnv,False,False,1292.0,163.0,418.0,345.0,"Bunkyo-ku, Tokyo"
Flygohr,899663108767195136,𝐅𝐋𝐘𝐆𝐎𝐇𝐑,"Multidisciplinary artist on #Tezos // Delegating to @TezberryPie
Discord: discord.gg/XqeSXxNXEF
Articles: flygohr.substack.com",False,False,3787.0,8215.0,606.0,13864.0,Italy
karol,17847906,Karol Markowicz,Born USSR | raised Brooklyn | now south Florida. Jew. Columnist @nypost & @foxnews. Contributing Editor @thespectator. Contributing Writer @dcexaminer mag.,True,False,127500.0,106192.0,2164.0,106118.0,Free state of Florida
blkagendareport,65801609,Black Agenda Report,"News, analysis and commentary from the Black Left.",False,False,38300.0,6757.0,261.0,563.0,the real world
LvivJournal,1504914737653596161,TheLvivJournal,"Life in Lviv during war.
🇪🇦 Volunteer. Kerouac. Hemingway. Travel
Here until 🇺🇦 wins
🇺🇦🇵🇱🇪🇦🇬🇧🇺🇲🇨🇿🇸🇰🇷🇴🇪🇪🇱🇹🇱🇻🇸🇪🇩🇰🇮🇸
#lviv #Україна",False,False,1142.0,3183.0,639.0,5072.0,"Lviv, Ukraine"
gaughen,261775468,Kevin Gaughen 🦉,"Father, husband, real estate broker, sci-fi author, Keystone Party at-large Board member.",False,False,1061.0,2676.0,839.0,4816.0,"Harrisburg, PA"
WarintheFuture,943906396180905984,"Mick Ryan, AM","Strategist, Leader & Author | Retired Australian Army Major General | @CSIS Adjunct Fellow | IntellectualEdge | @MilWritersGuild | #scifi | #BannedInRussia",True,False,245111.0,14932.0,1363.0,62938.0,The beach
